"","CPG","WEIGHT","P","gene","TRAIT"
"3416","cg12724826",-0.005,3.03e-06,"BAT4","mSmoking"
"3417","cg08474748",0.016,3.04e-06,"-","mSmoking"
"3418","cg06941630",-0.009,3.04e-06,"-","mSmoking"
"3426","cg13582775",-0.01,3.07e-06,"-","mSmoking"
"3432","cg19730268",0.008,3.08e-06,"-","mSmoking"
"3434","cg04411044",-0.008,3.09e-06,"-","mSmoking"
"3435","cg12062133",0.013,3.09e-06,"-","mSmoking"
"3439","cg25311764",0.007,3.12e-06,"GCNT3","mSmoking"
"3447","cg27102629",0.01,3.13e-06,"-","mSmoking"
"3448","cg23507953",-0.006,3.13e-06,"HOXB3","mSmoking"
"3452","cg14846442",0.006,3.15e-06,"-","mSmoking"
"3454","cg10523696",0.007,3.16e-06,"ZNF718","mSmoking"
"3456","cg16244690",0.005,3.18e-06,"C1orf88","mSmoking"
"3461","cg09615719",-0.003,3.22e-06,"TP53AIP1","mSmoking"
"3462","cg08371556",0.006,3.24e-06,"-","mSmoking"
"3467","cg16099871",-0.008,3.25e-06,"DLC1","mSmoking"
"3470","cg13687834",0.013,3.26e-06,"-","mSmoking"
"3471","cg01281231",0.011,3.26e-06,"-","mSmoking"
"3473","cg20225999",0.018,3.28e-06,"-","mSmoking"
"3474","cg23252243",0.005,3.28e-06,"C2orf18","mSmoking"
"3475","cg26433034",0.004,3.29e-06,"CCDC136","mSmoking"
"3489","cg18262993",-0.005,3.36e-06,"UBAP2L;C1orf43","mSmoking"
"3499","cg22043296",-0.006,3.41e-06,"LSP1","mSmoking"
"3502","cg14659662",0.02,3.42e-06,"GLIS1","mSmoking"
"3503","cg04981619",0.009,3.42e-06,"-","mSmoking"
"3522","cg04078896",-0.003,3.5e-06,"ZGPAT;ARFRP1","mSmoking"
"3531","cg26876647",0.006,3.55e-06,"RUSC1;C1orf104","mSmoking"
"3543","cg18809126",-0.004,3.61e-06,"VGLL4","mSmoking"
"3544","cg04687241",-0.008,3.61e-06,"DLGAP2","mSmoking"
"3546","cg26164577",0.007,3.63e-06,"SNRPF","mSmoking"
"3550","cg00028013",-0.007,3.65e-06,"LOXL1","mSmoking"
"3551","cg26709300",-0.006,3.65e-06,"YPEL3","mSmoking"
"3555","cg00188627",0.012,3.66e-06,"SCHIP1","mSmoking"
"3556","cg08415493",-0.004,3.66e-06,"ESR1","mSmoking"
"3560","cg22224628",-0.005,3.67e-06,"CCDC102B;TMX3","mSmoking"
"3564","cg13555772",-0.004,3.68e-06,"EPS8L2","mSmoking"
"3565","cg11028872",0.01,3.69e-06,"-","mSmoking"
"3566","cg26033710",0.007,3.69e-06,"TACR1","mSmoking"
"3567","cg14503357",-0.007,3.69e-06,"C9orf117","mSmoking"
"3570","cg11314827",-0.005,3.7e-06,"-","mSmoking"
"3574","cg05407338",-0.009,3.73e-06,"ARHGEF15","mSmoking"
"3575","cg26897904",-0.005,3.74e-06,"LSP1","mSmoking"
"3577","cg15665342",-0.005,3.75e-06,"AATK;LOC388428","mSmoking"
"3582","cg24699699",0.004,3.78e-06,"EVI5","mSmoking"
"3583","cg16617872",-0.009,3.78e-06,"SERPINE1","mSmoking"
"3584","cg15182635",-0.002,3.78e-06,"C10orf41","mSmoking"
"3587","cg05154390",-0.005,3.79e-06,"MRPS15","mSmoking"
"3588","cg22488891",-0.005,3.79e-06,"-","mSmoking"
"3590","cg06005688",0.008,3.8e-06,"-","mSmoking"
"3593","cg06239726",-0.005,3.81e-06,"FIGNL1","mSmoking"
"3594","cg14286346",-0.003,3.81e-06,"MEOX1","mSmoking"
"3596","cg09967633",0.005,3.82e-06,"CRISPLD2","mSmoking"
"3600","cg13625026",-0.007,3.86e-06,"-","mSmoking"
"3601","cg16331632",0.008,3.87e-06,"-","mSmoking"
"3607","cg04660191",0.004,3.9e-06,"PRSS23","mSmoking"
"3611","cg20703261",0.007,3.91e-06,"-","mSmoking"
"3612","cg02690013",-0.014,3.91e-06,"DLGAP2","mSmoking"
"3616","cg25854527",0.006,3.92e-06,"-","mSmoking"
"3617","cg06601581",-0.007,3.92e-06,"-","mSmoking"
"3618","cg22833618",0.005,3.92e-06,"HRC","mSmoking"
"3620","cg09580592",-0.009,3.93e-06,"ABR","mSmoking"
"3625","cg22952142",0.012,3.96e-06,"-","mSmoking"
"3631","cg14137381",-0.02,4.01e-06,"SLC9A3","mSmoking"
"3633","cg27424326",0.005,4.02e-06,"-","mSmoking"
"3635","cg15626350",-0.018,4.03e-06,"ESR1","mSmoking"
"3637","cg22524514",0.004,4.04e-06,"CST6","mSmoking"
"3640","cg05852177",0.004,4.08e-06,"-","mSmoking"
"3647","cg24945881",-0.004,4.11e-06,"SLC28A1","mSmoking"
"3651","cg26114570",0.006,4.13e-06,"TMEM201","mSmoking"
"3652","cg11700584",-0.007,4.13e-06,"RPL36AL;MGAT2","mSmoking"
"3654","cg09037894",0.012,4.14e-06,"-","mSmoking"
"3658","cg10906729",0.016,4.15e-06,"LOC404266;HOXB6","mSmoking"
"3661","cg18504190",-0.005,4.18e-06,"HCCA2;KRTAP5-5","mSmoking"
"3665","cg08441803",0.015,4.19e-06,"SKAP1","mSmoking"
"3669","cg23918296",0.014,4.22e-06,"AMN","mSmoking"
"3673","cg16079645",-0.005,4.23e-06,"C7orf50","mSmoking"
"3674","cg10803243",-0.007,4.23e-06,"DOCK9","mSmoking"
"3679","cg15289427",-0.005,4.25e-06,"FAM65B","mSmoking"
"3680","cg10361005",-0.008,4.25e-06,"-","mSmoking"
"3685","cg14133557",-0.011,4.26e-06,"-","mSmoking"
"3686","cg18161956",-0.006,4.26e-06,"TBX3","mSmoking"
"3689","cg08133584",0.007,4.27e-06,"C16orf11","mSmoking"
"3693","cg08073166",-0.007,4.29e-06,"PPP1R9A","mSmoking"
"3696","cg18146074",0.007,4.34e-06,"-","mSmoking"
"3702","cg07617283",0.009,4.39e-06,"-","mSmoking"
"3703","cg17694351",-0.001,4.4e-06,"-","mSmoking"
"3704","cg16179521",-0.008,4.4e-06,"PCSK6","mSmoking"
"3708","cg21474062",0.009,4.42e-06,"ZBTB38","mSmoking"
"3709","cg03333776",0.005,4.43e-06,"RAB3B","mSmoking"
"3710","cg14132731",0.01,4.43e-06,"SEL1L","mSmoking"
"3712","cg17404981",-0.007,4.44e-06,"CTBP1","mSmoking"
"3715","cg26785800",0.006,4.45e-06,"-","mSmoking"
"3722","cg13123009",-0.004,4.48e-06,"LY6G6E;LY6G6D","mSmoking"
"3728","cg22873165",-0.005,4.51e-06,"TSNARE1","mSmoking"
"3730","cg06896207",-0.006,4.53e-06,"MOBKL2A","mSmoking"
"3731","cg20249839",0.005,4.53e-06,"HRC","mSmoking"
"3735","cg00303378",0.008,4.58e-06,"VSIG8;C1orf204","mSmoking"
"3736","cg00169122",0.007,4.58e-06,"ANKRD11","mSmoking"
"3749","cg01079738",0.011,4.63e-06,"C1orf14","mSmoking"
"3751","cg26957187",0.012,4.65e-06,"CALN1","mSmoking"
"3753","cg06812836",-0.008,4.66e-06,"BRSK2","mSmoking"
"3754","cg09411730",-0.021,4.66e-06,"NEAT1","mSmoking"
"3755","cg13937905",-0.005,4.66e-06,"RARG","mSmoking"
"3758","cg00853853",0.005,4.68e-06,"CARD9;DNLZ","mSmoking"
"3763","cg22995106",-0.003,4.71e-06,"SF3B3;COG4","mSmoking"
"3771","cg01061553",0.007,4.74e-06,"GPN3","mSmoking"
"3775","cg03102841",0.007,4.77e-06,"-","mSmoking"
"3776","cg00567703",0.013,4.77e-06,"HOXC4;HOXC5;HOXC6","mSmoking"
"3777","cg16848873",0.013,4.77e-06,"LOC404266;HOXB6","mSmoking"
"3780","cg23599843",0.009,4.78e-06,"JPH1","mSmoking"
"3782","cg01738638",0.005,4.81e-06,"APLP2","mSmoking"
"3783","cg15881486",-0.009,4.81e-06,"CBR3","mSmoking"
"3785","cg01303372",0.004,4.83e-06,"BAG3","mSmoking"
"3786","cg10265258",-0.008,4.83e-06,"ACSF3","mSmoking"
"3787","cg00138041",-0.021,4.84e-06,"PRDM8","mSmoking"
"3788","cg14931071",0.004,4.85e-06,"PHACTR1","mSmoking"
"3789","cg23414580",0.013,4.87e-06,"-","mSmoking"
"3791","cg21187770",0.006,4.88e-06,"KIF3C","mSmoking"
"3797","cg01535630",-0.004,4.93e-06,"LOC388588","mSmoking"
"3799","cg09935994",0.006,4.94e-06,"ARL4C","mSmoking"
"3802","cg06096805",-0.005,4.96e-06,"FAM102A","mSmoking"
"3808","cg13689560",-0.009,5e-06,"C19orf36;MOBKL2A","mSmoking"
"3810","cg20188676",0.005,5.01e-06,"-","mSmoking"
"3816","cg26799474",-0.014,5.02e-06,"CASP8","mSmoking"
"3817","cg04103918",-0.011,5.02e-06,"PLD2","mSmoking"
"3818","cg13026370",0.006,5.02e-06,"LOC100192426;PTPRM","mSmoking"
"3820","cg11731596",0.004,5.03e-06,"-","mSmoking"
"3829","cg19818218",0.007,5.07e-06,"CCDC146","mSmoking"
"3830","cg25433552",0.009,5.08e-06,"-","mSmoking"
"3832","cg05324273",0.005,5.09e-06,"-","mSmoking"
"3835","cg24020157",0.009,5.1e-06,"RASGEF1A","mSmoking"
"3842","cg26647453",0.011,5.15e-06,"C4orf17","mSmoking"
"3843","cg05647733",-0.008,5.16e-06,"NUAK1","mSmoking"
"3844","cg13290149",0.006,5.16e-06,"C20orf151","mSmoking"
"3850","cg12868738",-0.009,5.22e-06,"ZNF212","mSmoking"
"3853","cg15813594",-0.006,5.24e-06,"EGFLAM","mSmoking"
"3860","cg26161057",-0.004,5.27e-06,"AHDC1","mSmoking"
"3861","cg04499015",-0.006,5.28e-06,"COL11A2","mSmoking"
"3862","cg03552937",-0.005,5.28e-06,"ZMIZ2","mSmoking"
"3866","cg06565913",-0.013,5.29e-06,"IFT140;TMEM204","mSmoking"
"3871","cg15117739",0.007,5.3e-06,"HOXB9","mSmoking"
"3873","cg06942183",-0.008,5.31e-06,"HOXB2","mSmoking"
"3876","cg17940849",-0.004,5.32e-06,"PRDM16","mSmoking"
"3877","cg27182159",-0.006,5.32e-06,"RPS18","mSmoking"
"3880","cg18446336",-0.012,5.33e-06,"GNA12","mSmoking"
"3881","cg21714061",-0.006,5.33e-06,"ATXN7L3","mSmoking"
"3883","cg08005849",0.008,5.34e-06,"HGF","mSmoking"
"3884","cg15945475",0.004,5.34e-06,"-","mSmoking"
"3895","cg00464520",0.011,5.4e-06,"-","mSmoking"
"3904","cg25114611",-0.005,5.48e-06,"FKBP5;LOC285847","mSmoking"
"3906","cg01514538",0.006,5.49e-06,"FLJ42875","mSmoking"
"3910","cg07069759",-0.009,5.53e-06,"LOC728643","mSmoking"
"3911","cg06682875",0.014,5.55e-06,"CDO1","mSmoking"
"3912","cg05821046",0.01,5.56e-06,"TMEM48","mSmoking"
"3913","cg02170478",0.007,5.57e-06,"PDGFRA","mSmoking"
"3914","cg13408152",0.005,5.58e-06,"FSTL1","mSmoking"
"3916","cg25610702",0.004,5.59e-06,"CRIP3","mSmoking"
"3918","cg03559942",-0.006,5.63e-06,"ZBTB3","mSmoking"
"3919","cg18107425",0.005,5.63e-06,"MESP2","mSmoking"
"3921","cg00923744",-0.006,5.64e-06,"GALNT2","mSmoking"
"3922","cg24786658",0.012,5.64e-06,"GPR85","mSmoking"
"3923","cg24763243",0.003,5.64e-06,"HSPA12B","mSmoking"
"3924","cg06519434",-0.005,5.66e-06,"SCN5A","mSmoking"
"3925","cg16944958",-0.006,5.66e-06,"-","mSmoking"
"3933","cg16490823",-0.004,5.71e-06,"RPS6KA2","mSmoking"
"3935","cg17755386",-0.004,5.72e-06,"SNORD46;RPS8;SNORD38A","mSmoking"
"3937","cg07653326",0.016,5.73e-06,"-","mSmoking"
"3938","cg15650298",-0.004,5.75e-06,"SCRIB;MIR937","mSmoking"
"3940","cg13318071",0.007,5.76e-06,"MESP2","mSmoking"
"3941","cg14508358",0.017,5.77e-06,"-","mSmoking"
"3945","cg03061623",0.01,5.8e-06,"-","mSmoking"
"3951","cg07553761",0.003,5.83e-06,"TRIM59","mSmoking"
"3953","cg17211562",0.006,5.84e-06,"LPIN1","mSmoking"
"3955","cg05939380",0.006,5.85e-06,"RHCG","mSmoking"
"3958","cg16680677",0.008,5.87e-06,"-","mSmoking"
"3960","cg19717773",-0.01,5.9e-06,"GNA12","mSmoking"
"3961","cg01970325",-0.005,5.9e-06,"NELF","mSmoking"
"3965","cg03387585",0.007,5.92e-06,"KIRREL3","mSmoking"
"3970","cg25078026",0.006,5.96e-06,"-","mSmoking"
"3971","cg01453052",-0.007,5.96e-06,"TRIM65","mSmoking"
"3973","cg06858555",-0.005,5.98e-06,"-","mSmoking"
"3976","cg22180580",0.006,6e-06,"NHSL1","mSmoking"
"3979","cg21393124",-0.006,6.01e-06,"-","mSmoking"
"3982","cg14204430",0.006,6.02e-06,"NDST4","mSmoking"
"3984","cg12127196",0.009,6.07e-06,"AGBL4","mSmoking"
"3985","cg08463024",-0.008,6.07e-06,"BAT1","mSmoking"
"3987","cg10429573",0.008,6.08e-06,"-","mSmoking"
"3988","cg17601191",0.005,6.08e-06,"-","mSmoking"
"3991","cg04613258",0.006,6.11e-06,"NGFR","mSmoking"
"3994","cg06884254",0.005,6.13e-06,"LRRN4CL","mSmoking"
"3995","cg01881870",-0.003,6.14e-06,"SNORD55;SNORD46;RPS8","mSmoking"
"3996","cg15320998",0.009,6.14e-06,"ZNF212","mSmoking"
"4012","cg16031250",0.006,6.23e-06,"TGFBI","mSmoking"
"4016","cg24029426",0.006,6.24e-06,"-","mSmoking"
"4018","cg18080509",0.007,6.26e-06,"C6orf147","mSmoking"
"4019","cg20492912",0.006,6.26e-06,"UBE4A","mSmoking"
"4025","cg18665594",0.016,6.3e-06,"-","mSmoking"
"4027","cg04284140",0.01,6.33e-06,"POLD2","mSmoking"
"4028","cg20566475",-0.005,6.33e-06,"LHPP","mSmoking"
"4032","cg01996116",0.013,6.34e-06,"HIGD1A","mSmoking"
"4037","cg06141004",0.008,6.35e-06,"C7orf28B","mSmoking"
"4039","cg02630888",0.004,6.36e-06,"FBXL5","mSmoking"
"4040","cg24612707",0.008,6.37e-06,"C7orf68","mSmoking"
"4041","cg21400896",-0.004,6.37e-06,"ABI3","mSmoking"
"4045","cg18235088",0.005,6.39e-06,"PPT2;PRRT1","mSmoking"
"4046","cg25295740",0.004,6.39e-06,"-","mSmoking"
"4049","cg25882842",0.001,6.42e-06,"NAP1L4","mSmoking"
"4058","cg25362120",-0.002,6.51e-06,"PACRG","mSmoking"
"4061","cg17736772",0.005,6.53e-06,"HCN3","mSmoking"
"4062","cg24636368",0.011,6.53e-06,"SKAP1","mSmoking"
"4066","cg11375102",-0.009,6.55e-06,"IFT140;TMEM204","mSmoking"
"4068","cg18089931",0.012,6.57e-06,"GLO1","mSmoking"
"4071","cg12727256",-0.007,6.6e-06,"C22orf45;ADORA2A","mSmoking"
"4075","cg13633560",-0.004,6.62e-06,"LRRC32","mSmoking"
"4076","cg20968743",-0.002,6.62e-06,"TSPAN18","mSmoking"
"4084","cg25259712",0.005,6.66e-06,"LDB3","mSmoking"
"4086","cg00653615",-0.005,6.67e-06,"CDC42SE1","mSmoking"
"4089","cg23694533",0.01,6.68e-06,"-","mSmoking"
"4091","cg21885361",0.014,6.69e-06,"-","mSmoking"
"4095","cg24987590",0.004,6.71e-06,"RANGRF;SLC25A35","mSmoking"
"4097","cg08530838",-0.005,6.72e-06,"-","mSmoking"
"4101","cg13775636",-0.008,6.75e-06,"DIP2C","mSmoking"
"4103","cg00063111",-0.008,6.76e-06,"SNORA6;RPSA","mSmoking"
"4107","cg14160968",0.007,6.79e-06,"-","mSmoking"
"4114","cg00609473",0.004,6.87e-06,"REM2","mSmoking"
"4121","cg03329019",0.009,6.91e-06,"-","mSmoking"
"4125","cg10536081",0.006,6.93e-06,"-","mSmoking"
"4130","cg05545777",0.016,6.94e-06,"-","mSmoking"
"4131","cg22202929",0.009,6.95e-06,"ZFPM2","mSmoking"
"4132","cg01717649",0.007,6.95e-06,"-","mSmoking"
"4133","cg19693031",-0.006,6.96e-06,"TXNIP","mSmoking"
"4134","cg25705519",0.012,6.96e-06,"SCHIP1","mSmoking"
"4135","cg24741609",-0.005,6.97e-06,"GLIS1","mSmoking"
"4138","cg04221877",-0.004,6.99e-06,"RUNX3","mSmoking"
"4142","cg21697944",0.008,7.01e-06,"HRC","mSmoking"
"4145","cg11029716",0.011,7.04e-06,"-","mSmoking"
"4155","cg15823502",0.01,7.12e-06,"-","mSmoking"
"4161","cg11960677",0.006,7.17e-06,"MTMR9L","mSmoking"
"4162","cg14739664",0.005,7.18e-06,"SLC25A2","mSmoking"
"4163","cg22491141",-0.005,7.19e-06,"-","mSmoking"
"4166","cg06167719",0.015,7.21e-06,"HLCS","mSmoking"
"4168","cg26299084",-0.011,7.22e-06,"PRDM8","mSmoking"
"4169","cg23789054",0.004,7.22e-06,"-","mSmoking"
"4172","cg03211864",-0.005,7.24e-06,"BTBD16","mSmoking"
"4175","cg01279538",-0.006,7.27e-06,"MUC6","mSmoking"
"4177","cg14652095",0.009,7.28e-06,"HIST1H1A","mSmoking"
"4178","cg12555334",-0.009,7.28e-06,"CCT6A;PSPH","mSmoking"
"4180","cg06696815",-0.004,7.34e-06,"MAEA","mSmoking"
"4181","cg25674613",-0.011,7.34e-06,"-","mSmoking"
"4185","cg07250758",0.008,7.35e-06,"VWCE","mSmoking"
"4189","cg23166970",-0.002,7.38e-06,"MCCC1","mSmoking"
"4193","cg13720395",-0.009,7.45e-06,"YWHAG","mSmoking"
"4198","cg23599716",-0.003,7.47e-06,"ERI3","mSmoking"
"4205","cg19433435",0.009,7.53e-06,"FEZ1","mSmoking"
"4208","cg02825765",0.004,7.56e-06,"LBR","mSmoking"
"4210","cg09840309",-0.001,7.59e-06,"EXPH5","mSmoking"
"4213","cg12150256",0.008,7.61e-06,"HYAL2","mSmoking"
"4217","cg05756918",-0.007,7.63e-06,"-","mSmoking"
"4220","cg08425810",0.018,7.64e-06,"AGAP2","mSmoking"
"4223","cg18364858",0.011,7.67e-06,"-","mSmoking"
"4225","cg05081614",-0.008,7.7e-06,"STRN3;AP4S1","mSmoking"
"4228","cg10163377",-0.006,7.73e-06,"LOC100270710","mSmoking"
"4229","cg13121938",-0.005,7.74e-06,"RASA3","mSmoking"
"4234","cg23079252",0.009,7.77e-06,"-","mSmoking"
"4235","cg09037712",0.007,7.77e-06,"HLCS","mSmoking"
"4239","cg07810039",0.011,7.8e-06,"TGFB2","mSmoking"
"4240","cg22112435",-0.006,7.82e-06,"POMGNT1","mSmoking"
"4241","cg22211233",-0.002,7.82e-06,"MCCC1","mSmoking"
"4244","cg21091547",-0.005,7.84e-06,"CDKN1A","mSmoking"
"4248","cg06720722",0.008,7.89e-06,"TP63","mSmoking"
"4249","cg25161283",-0.004,7.9e-06,"TRMT2A;RANBP1","mSmoking"
"4250","cg03177666",0.009,7.92e-06,"-","mSmoking"
"4252","cg07042914",0.009,7.94e-06,"FIBIN","mSmoking"
"4258","cg25133685",0.015,7.99e-06,"OR2W1","mSmoking"
"4260","cg11041817",0.005,8.01e-06,"HOXB7","mSmoking"
"4267","cg19623054",-0.011,8.05e-06,"MYCN","mSmoking"
"4268","cg18315060",0.016,8.05e-06,"-","mSmoking"
"4278","cg24467290",0.005,8.11e-06,"C8orf73","mSmoking"
"4281","cg10464312",-0.004,8.14e-06,"MEIS1","mSmoking"
"4282","cg15571730",-0.001,8.15e-06,"ZNF3","mSmoking"
"4285","cg17276535",-0.008,8.16e-06,"RGS12","mSmoking"
"4293","cg00838415",-0.004,8.3e-06,"FKRP","mSmoking"
"4295","cg14178899",0.01,8.32e-06,"ERRFI1","mSmoking"
"4296","cg15648345",0.009,8.33e-06,"MKS1","mSmoking"
"4303","cg02486145",0.012,8.4e-06,"-","mSmoking"
"4307","cg06494185",0.007,8.45e-06,"-","mSmoking"
"4309","cg25261694",0.011,8.46e-06,"BMPR1A","mSmoking"
"4315","cg24924936",-0.001,8.51e-06,"PTGFR","mSmoking"
"4317","cg01621764",-0.009,8.53e-06,"ACTL9","mSmoking"
"4329","cg13063207",-0.006,8.67e-06,"-","mSmoking"
"4336","cg11823178",0.002,8.72e-06,"ANK1;MIR486","mSmoking"
"4337","cg18878432",0.008,8.73e-06,"LOC404266;HOXB6","mSmoking"
"4339","cg24496745",0.011,8.74e-06,"C1orf168","mSmoking"
"4343","cg02970551",-0.003,8.78e-06,"RUNX3","mSmoking"
"4344","cg04038150",-0.002,8.78e-06,"SHANK2","mSmoking"
"4358","cg00651401",-0.002,8.86e-06,"TNK2","mSmoking"
"4362","cg12057127",0.009,8.91e-06,"HOXB9","mSmoking"
"4363","cg08511651",0.009,8.92e-06,"HIST1H1A","mSmoking"
"4369","cg16391678",-0.004,8.98e-06,"ITGAL","mSmoking"
"4370","cg00187244",0.011,9e-06,"EP300","mSmoking"
"4373","cg03463411",-0.013,9.03e-06,"PRDM8","mSmoking"
"4377","cg11950754",-0.005,9.09e-06,"LRP8","mSmoking"
"4378","cg25698842",-0.006,9.09e-06,"-","mSmoking"
"4379","cg19257111",-0.01,9.09e-06,"PTPLAD1","mSmoking"
"4381","cg05067427",0.012,9.12e-06,"-","mSmoking"
"4385","cg13985198",-0.003,9.18e-06,"SNORD46;RPS8;SNORD38A","mSmoking"
"4386","cg15031409",-0.004,9.18e-06,"CASZ1","mSmoking"
"4390","cg00045910",0.014,9.19e-06,"-","mSmoking"
"4396","cg15637286",-0.007,9.26e-06,"-","mSmoking"
"4399","cg09063262",-0.008,9.27e-06,"TMEM126A","mSmoking"
"4401","cg23964386",0.008,9.29e-06,"PTGR1","mSmoking"
"4402","cg22177868",-0.009,9.3e-06,"ADAMTS9","mSmoking"
"4404","cg04010296",0.011,9.33e-06,"PGA5","mSmoking"
"4405","cg20663495",-0.005,9.33e-06,"B3GNTL1","mSmoking"
"4407","cg17938867",0.004,9.34e-06,"GPSM2","mSmoking"
"4409","cg20156353",-0.004,9.35e-06,"-","mSmoking"
"4412","cg25607876",0.008,9.37e-06,"-","mSmoking"
"4415","cg09832244",0.006,9.4e-06,"LPAR5","mSmoking"
"4417","cg11489251",-0.007,9.42e-06,"BAT1","mSmoking"
"4418","cg05211996",0.004,9.42e-06,"-","mSmoking"
"4419","cg23232773",-0.007,9.45e-06,"HCP5","mSmoking"
"4426","cg07904051",0.005,9.53e-06,"SLC6A12","mSmoking"
"4434","cg03008339",-0.003,9.62e-06,"CTBP1","mSmoking"
"4437","cg14238325",0.004,9.64e-06,"CRIP3","mSmoking"
"4439","cg25955692",-0.005,9.65e-06,"DLGAP2","mSmoking"
"4448","cg14316323",0.004,9.71e-06,"-","mSmoking"
"4452","cg14266999",-0.005,9.73e-06,"VPS52;RPS18","mSmoking"
"4455","cg10493162",-0.012,9.8e-06,"-","mSmoking"
"4456","cg27282900",0.007,9.82e-06,"-","mSmoking"
"4457","cg23964820",0.012,9.85e-06,"NRG1","mSmoking"
"4458","cg21579107",-0.011,9.88e-06,"SPATS2","mSmoking"
"4459","cg06871213",0.005,9.88e-06,"CIITA","mSmoking"
"4465","cg14150774",0.008,9.93e-06,"QSOX2","mSmoking"
"4471","cg03858448",0.007,9.98e-06,"-","mSmoking"
"4472","cg21636683",0.01,9.99e-06,"SLC25A2","mSmoking"
"4473","cg26892635",0.009,9.99e-06,"OR1F1","mSmoking"
"4478","cg07478773",-0.003,1e-05,"PABPC4","mSmoking"
"4479","cg00524967",0.009,1e-05,"RFC3","mSmoking"
"4491","cg04232360",0.005,1.01e-05,"-","mSmoking"
"4500","cg12109823",0.012,1.02e-05,"-","mSmoking"
"4501","cg03278488",-0.002,1.02e-05,"ZDHHC7","mSmoking"
"4519","cg16308841",-0.006,1.04e-05,"C2orf29","mSmoking"
"4520","cg02637474",-0.003,1.04e-05,"PTPRN2","mSmoking"
"4521","cg26542567",0.007,1.04e-05,"-","mSmoking"
"4522","cg01258050",-0.008,1.04e-05,"KNDC1","mSmoking"
"4523","cg08932654",-0.009,1.04e-05,"ORMDL3","mSmoking"
"4524","cg13584095",0.005,1.04e-05,"CDH22","mSmoking"
"4529","cg04790977",0.015,1.05e-05,"-","mSmoking"
"4530","cg01833923",-0.004,1.05e-05,"GNGT2;ABI3","mSmoking"
"4531","cg04723534",-0.01,1.05e-05,"C2CD2","mSmoking"
"4540","cg18096398",-0.002,1.06e-05,"SLC9A3","mSmoking"
"4541","cg08755703",0.009,1.06e-05,"-","mSmoking"
"4542","cg05752393",0.012,1.06e-05,"SIGLEC15","mSmoking"
"4543","cg05335030",-0.002,1.06e-05,"TRABD","mSmoking"
"4552","cg02516703",-0.004,1.07e-05,"-","mSmoking"
"4553","cg08928675",-0.009,1.07e-05,"FBXL18","mSmoking"
"4554","cg10783149",0.009,1.07e-05,"-","mSmoking"
"4558","cg08133631",0.019,1.08e-05,"CATSPER4","mSmoking"
"4559","cg18527574",0.013,1.08e-05,"EPHA4","mSmoking"
"4560","cg01166399",0.008,1.08e-05,"FAM184A","mSmoking"
"4561","cg01586208",0.01,1.08e-05,"-","mSmoking"
"4562","cg19835136",0.006,1.08e-05,"FAM129C","mSmoking"
"4573","cg02611848",0.008,1.09e-05,"C2orf65","mSmoking"
"4583","cg24201793",0.011,1.1e-05,"MBOAT2","mSmoking"
"4584","cg24601559",0.01,1.1e-05,"-","mSmoking"
"4591","cg03598731",-0.002,1.11e-05,"-","mSmoking"
"4592","cg20065768",0.004,1.11e-05,"-","mSmoking"
"4593","cg00521464",0.006,1.11e-05,"-","mSmoking"
"4594","cg00911794",0.003,1.11e-05,"HIC1","mSmoking"
"4595","cg22904711",-0.009,1.11e-05,"KCNN4","mSmoking"
"4603","cg10707081",0.014,1.12e-05,"PCDH9","mSmoking"
"4614","cg02173484",0.004,1.13e-05,"GJA5","mSmoking"
"4615","cg15339075",-0.007,1.13e-05,"PARK2","mSmoking"
"4616","cg03102442",-0.004,1.13e-05,"MTSS1","mSmoking"
"4617","cg03252786",0.003,1.13e-05,"PKNOX2","mSmoking"
"4618","cg20643029",-0.006,1.13e-05,"CLDN14","mSmoking"
"4624","cg08032971",0.007,1.14e-05,"DMBX1","mSmoking"
"4625","cg19903927",-0.009,1.14e-05,"MKRN3","mSmoking"
"4626","cg08527324",0.011,1.14e-05,"-","mSmoking"
"4633","cg13392957",0.01,1.15e-05,"-","mSmoking"
"4634","cg13699479",0.004,1.15e-05,"-","mSmoking"
"4641","cg03467555",0.006,1.16e-05,"-","mSmoking"
"4649","cg26359488",0.01,1.17e-05,"C1orf77;S100A13","mSmoking"
"4650","cg15672022",-0.008,1.17e-05,"-","mSmoking"
"4659","cg18934106",-0.005,1.18e-05,"DAXX","mSmoking"
"4660","cg19521279",-0.01,1.18e-05,"-","mSmoking"
"4661","cg22330875",-0.008,1.18e-05,"-","mSmoking"
"4662","cg05660355",0.011,1.18e-05,"-","mSmoking"
"4670","cg09469667",0.007,1.19e-05,"-","mSmoking"
"4671","cg00435752",0.006,1.19e-05,"-","mSmoking"
"4679","cg22874652",-0.006,1.2e-05,"-","mSmoking"
"4680","cg17893108",-0.005,1.2e-05,"C7orf50","mSmoking"
"4681","cg24319836",-0.006,1.2e-05,"ANGPTL6","mSmoking"
"4690","cg17165695",0.005,1.21e-05,"LOC100271715;LOC375196","mSmoking"
"4691","cg18927077",0.01,1.21e-05,"-","mSmoking"
"4692","cg09481866",-0.003,1.21e-05,"SEPT9","mSmoking"
"4697","cg00505318",-0.005,1.22e-05,"UBA3","mSmoking"
"4698","cg01460481",0.007,1.22e-05,"FEZ1","mSmoking"
"4699","cg06521145",-0.005,1.22e-05,"MKNK2","mSmoking"
"4701","cg19770944",-0.003,1.23e-05,"KIAA1841","mSmoking"
